Designator,Mid X,Mid Y,Rotation,Layer
BT4,156.175,-91.55,0,bottom
J8,208.77,-103.39,0,bottom
J11,134.56,-75.48,-90,bottom
J12,176.06,-75.5,90,bottom
C1,118.425,-104.92,-90,top
C2,88.025,-90.9,35,top
C3,114.725,-75.6,0,top
C4,149,-72,-90,top
C5,158.5,-79.58,-90,top
C6,201.125,-74.72,-90,top
C7,219.5,-90.02,90,top
C26,151.4,-86.72,-90,top
C27,154.4,-95.32,-90,top
C28,154.72,-93.1,0,top
C29,148.38,-91.7,0,top
C30,157.45,-98.3,0,top
C31,149.4,-88.38,-90,top
C32,147.7,-88.18,-90,top
C33,156,-87.48,-90,top
C34,162.65,-94.9,180,top
C35,158.9,-91.55,-90,top
C36,174.8,-88.75,90,top
C37,177.3,-88.75,90,top
C38,179.6,-88.75,90,top
C39,163.28,-100.6,180,top
C40,173.72,-91.5,180,top
C41,182,-88.75,90,top
C42,165.92,-102.7,180,top
C43,167.4,-106.52,-90,top
C44,164.65,-104.6,180,top
C45,194.425,-105.8,-90,top
C46,168.625,-90.3,180,top
C47,176.1,-92.75,90,top
C48,172.8,-92.6,180,top
C49,121.875,-96.5,180,top
C50,130.325,-96.9,180,top
C51,139.675,-104.25,-90,top
C52,177,-99.62,-90,top
C53,136.915,-104.3,-90,top
C54,95.325,-110.1,90,top
C55,175.7,-102.48,90,top
C56,133.905,-104.3,-90,top
C57,130.895,-104.3,-90,top
C58,128.025,-97.98,90,top
C59,127.225,-82.75,-90,top
C60,123.725,-82.85,-90,top
C61,122.78,-99.6,180,top
C62,167.72,-97.3,180,top
C63,167.905,-96.05,180,top
C64,162.65,-97.4,0,top
C65,136.425,-98.08,90,top
C66,130.92,-99.6,180,top
C67,169.78,-108.7,0,top
C68,132.725,-83.35,-90,top
C69,89.825,-100.05,-90,top
C70,164.65,-106.9,0,top
C71,135.925,-83.35,-90,top
C72,175.825,-74.92,-90,top
C73,95.3,-106.35,-90,top
C74,97.3,-102.48,-90,top
C75,177.925,-68.9,0,top
C76,182.225,-74.92,-90,top
C78,166.025,-69.8,0,top
C79,209.525,-118.4,-90,top
C80,208.5,-121.22,-90,top
C81,198.7,-114.65,-90,top
C82,201.3,-114.12,90,top
C83,197.1,-118.45,90,top
C84,209.1,-100.4,90,top
C85,213.42,-100.4,180,top
C86,211.325,-101.32,90,top
C87,216.78,-104.3,0,top
C88,206.425,-106.2,180,top
C89,207.225,-104.5,180,top
C90,209.425,-114.6,-90,top
C91,211.525,-114.6,-90,top
C92,212.625,-110.35,-90,top
C93,214.725,-110.4,-90,top
C94,209.425,-108.6,0,top
C95,207.325,-110.65,90,top
C96,90.125,-90,90,top
C97,90.725,-92.7,-90,top
C98,153,-90.92,-90,top
D1,123.275,-106.15,0,top
D2,86.425,-95.6,-55,top
D3,113.225,-80.2,-75,top
D4,145.525,-73.8,-90,top
D5,154.65,-80.65,-90,top
D6,197.575,-76.6,-90,top
D7,219.275,-96.6,-90,top
D30,162,-88.3,-90,top
D31,157.1,-100.8,0,top
D32,110.1,-102.55,180,top
D33,113.675,-101.3,0,top
D34,116.3,-101,90,top
ES1,212.025,-105.2,-90,top
J1,113.425,-110,25,top
L1,179.8,-99.3,90,top
L2,125.625,-90.2,90,top
L3,134.025,-90.3,90,top
L4,203.125,-100.9,0,top
LS1,210.925,-85.8,-30,top
MKTD4015BPN1,204.3,-118.1,-90,top
Q1,143.025,-93.1,180,top
Q2,143.035,-97.19,180,top
Q3,180.39,-93.01,90,top
Q4,184.115,-97.2,0,top
Q5,184.29,-101.51,0,top
Q6,179.61,-106.39,-90,top
Q7,174.59,-105.49,0,top
Q8,160.925,-83.9625,90,top
Q9,165.95,-83.2625,90,top
Q10,117.3,-85.95,180,top
R1,157.675,-96.3,180,top
R2,157.675,-94.5,180,top
R3,154.5,-90.825,-90,top
R4,153.4,-87.375,-90,top
R5,113.275,-103.2,180,top
R6,151.3,-90.425,-90,top
R7,108.025,-105.4,0,top
R8,158.575,-87.6,180,top
R9,151.4,-99.675,90,top
R13,148.575,-86.4,180,top
R14,145.6,-87.7625,90,top
R15,165.4,-96.145,90,top
R16,148.525,-90.1,0,top
R17,164.595,-92.8,180,top
R18,161.525,-92.8,180,top
R19,146.2,-92.025,90,top
R20,170.6,-93.725,-90,top
R21,168.9,-93.725,90,top
R22,203.6,-82.525,90,top
R23,200.7,-82.525,-90,top
R24,147.075,-94.3,0,top
R25,166.225,-100.55,180,top
R26,146,-98.275,90,top
R27,177.1,-96.325,90,top
R28,146.75,-100.575,0,top
R29,172.5,-94.825,90,top
R30,184.4,-92.475,90,top
R31,174.3,-94.825,90,top
R32,168.5,-103.775,-90,top
R33,194.425,-103.075,90,top
R34,171.6,-89.725,-90,top
R35,166.225,-98.8,180,top
R36,171.7,-104.275,90,top
R37,170.1,-104.275,90,top
R38,123.175,-101,0,top
R39,126.275,-101,0,top
R40,167.2,-93.725,90,top
R41,130.125,-101.1,0,top
R42,134.075,-101.1,0,top
R43,170.325,-107.3,180,top
R44,98.225,-106.6,0,top
R45,92.575,-99.1,0,top
R46,93.275,-97.2,0,top
R47,96,-102.425,-90,top
R48,177.425,-71.62,-90,top
R49,206.3,-121.9,90,top
R50,150.375,-76.3,0,top
R51,158.845,-76.25,0,top
R58,199.2,-118,90,top
R59,200.8,-118,90,top
R60,155.425,-76.3,0,top
R61,160.775,-81.2,180,top
R69,216.405,-101.65,-90,top
R70,214.8,-98.08,-90,top
R71,216.625,-106.2,0,top
SW1,199.6774,-108.6479,155,top
SW2,100.2,-112.5,-150,top
SW3,188.4226,-75.4521,-15,top
SW4,121.297608,-75.332838,15,top
TH1,146.775,-95.9,180,top
U1,102.222278,-89.631476,30,top
U2,106.9,-113.3,-60,top
U3,151.1125,-95.1,-90,top
U4,125.675,-98.0375,-90,top
U5,171.625,-99.18,-90,top
U6,133.925,-98.1,-90,top
U7,192.95,-91.825,180,top
U8,90.075,-103.35,-90,top
U9,171.675,-71.05,0,top
U10,172.85,-81.295,0,top
U11,93.425,-102.3,-90,top
U12,180.9,-81.245,0,top
U14,162.925,-69.1375,-90,top
U15,154.575,-73.05,0,top
U16,162.836,-75.755,90,top
