Designator,Mid X,Mid Y,Rotation,Layer
C1,118.425,-104.92,-90,top
C2,88.025,-90.9,35,top
C3,114.725,-75.5,0,top
C4,149,-72,-90,top
C5,158.125,-78.4,-90,top
C6,201.125,-74.72,-90,top
C7,220.925,-89.98,90,top
C26,150.825,-89.2,-90,top
C27,154.425,-94.58,-90,top
C28,154.445,-92.9,0,top
C29,148.625,-91.9,0,top
C30,155.175,-97.6,0,top
C31,149.225,-89.18,-90,top
C32,148.125,-89.18,-90,top
C33,156.025,-89.98,-90,top
C34,163.725,-95.05,180,top
C35,157.725,-91.65,-90,top
C36,173.925,-88.85,90,top
C37,176.935,-88.8,90,top
C38,179.945,-88.8,90,top
C39,164.655,-100.55,180,top
C40,172.405,-92.2,180,top
C41,182.955,-88.8,90,top
C42,167.155,-101.8,180,top
C43,168.905,-104.3,180,top
C44,166.125,-103.55,180,top
C45,194.425,-105.8,-90,top
C46,168.625,-92.8,180,top
C47,175.125,-93.15,90,top
C48,172.445,-93.25,180,top
C49,121.875,-96.5,180,top
C50,130.325,-96.9,180,top
C51,139.675,-104.25,-90,top
C52,175.5,-97.75,-90,top
C53,136.915,-104.3,-90,top
C54,95.325,-110.1,90,top
C55,175.225,-101.25,90,top
C56,133.905,-104.3,-90,top
C57,130.895,-104.3,-90,top
C58,128.025,-97.98,90,top
C59,127.225,-82.75,-90,top
C60,123.725,-82.7,-90,top
C61,123.005,-99.7,180,top
C62,167.905,-97.3,180,top
C63,167.905,-96.05,180,top
C64,163.825,-97.3,0,top
C65,136.425,-98.08,90,top
C66,131.205,-99.7,180,top
C67,170.695,-107.3,0,top
C68,132.725,-83.35,-90,top
C69,89.825,-100.05,-90,top
C70,166.725,-106.55,0,top
C71,135.925,-83.35,-90,top
C72,175.825,-74.92,-90,top
C73,96.225,-106.3,-90,top
C74,96.625,-102.4,-90,top
C75,177.925,-68.9,0,top
C76,182.225,-74.92,-90,top
C78,166.025,-69.8,0,top
C79,209.525,-118.4,-90,top
C80,208.25,-121.22,-90,top
C81,200.925,-115.28,-90,top
C82,202.5,-115.28,90,top
C83,198.5,-118.5,90,top
C84,209.625,-100.4,90,top
C85,212.925,-99.4,180,top
C86,211.325,-101.32,90,top
C87,216.905,-103.5,0,top
C88,206.425,-106.2,180,top
C89,207.225,-104.5,180,top
C90,209.425,-114.6,-90,top
C91,211.525,-114.6,-90,top
C92,212.625,-110.35,-90,top
C93,214.725,-110.4,-90,top
C94,209.425,-108.6,0,top
C95,207.325,-110.65,90,top
C96,90.125,-90,90,top
C97,90.725,-92.7,-90,top
C98,151.925,-91.18,-90,top
D1,123.275,-106.15,0,top
D2,86.425,-95.6,-55,top
D3,113.225,-80.2,-75,top
D4,145.525,-73.8,-90,top
D5,154.775,-80.35,-90,top
D6,197.575,-76.6,-90,top
D7,219.275,-96.6,-90,top
D29,118.325,-85,0,top
D30,160.125,-91.7,-90,top
D31,154.525,-100.7,0,top
D32,110.375,-102.55,180,top
D33,113.675,-101.3,0,top
D34,117.225,-101,90,top
ES1,212.025,-105.2,-90,top
F4,113.425,-85.9625,-90,top
J1,113.425,-110,25,top
J3,225.941515,-90.134245,145,top
J4,231.8446,-87.7027,180,top
L1,178.425,-99.48,90,top
L2,125.625,-90.2,90,top
L3,134.025,-90.3,90,top
L4,203.125,-100.9,0,top
LS1,210.925,-85.8,-30,top
MKTD4015BPN1,204.425,-118.4,-90,top
Q1,143.025,-93.1,180,top
Q2,143.035,-97.19,180,top
Q3,178.615,-93.635,90,top
Q4,182.615,-97.39,0,top
Q5,182.615,-101.49,0,top
Q6,179.61,-106.39,-90,top
Q7,174.59,-105.49,0,top
Q8,160.925,-82.9375,90,top
Q9,165.95,-83.0625,90,top
R1,155.87,-95.1,180,top
R2,155.88,-94,180,top
R3,153.925,-91.5,-90,top
R4,151.925,-89.32,-90,top
R5,113.025,-103.8,-90,top
R6,150.125,-91.655,-90,top
R7,109.48,-105.7,0,top
R8,157.905,-89.5,180,top
R9,152.425,-98.7,90,top
R10,115.5,-101.75,-90,top
R11,107.625,-105.7,-90,top
R12,106.725,-110,-90,top
R13,148.525,-87.76,180,top
R14,146.425,-90.0625,90,top
R15,166.275,-96.145,90,top
R16,148.58,-90.66,0,top
R17,164.595,-92.8,180,top
R18,162.87,-92.8,180,top
R19,145.825,-93.745,90,top
R20,170.25,-95,-90,top
R21,169.5,-95,90,top
R22,201.225,-86.2,90,top
R23,200.225,-85.5,-90,top
R24,147.07,-94.1,0,top
R25,167.27,-100.55,180,top
R26,145.625,-97.8,90,top
R27,174.325,-96.18,90,top
R28,146.98,-98.2,0,top
R29,172.25,-95.12,90,top
R30,182.825,-92.42,90,top
R31,173.25,-95.1,90,top
R32,169.27,-103.05,180,top
R33,194.425,-103.98,90,top
R34,171.25,-91,-90,top
R35,167.245,-98.3,180,top
R36,171.425,-104.145,90,top
R37,170.425,-104.145,90,top
R38,122.905,-100.9,0,top
R39,124.68,-100.9,0,top
R40,167.675,-94.8,180,top
R41,131.08,-100.9,0,top
R42,132.825,-100.9,0,top
R43,171.02,-105.55,180,top
R44,98.225,-107.3,0,top
R45,91.805,-98.8,0,top
R46,93.425,-98.8,0,top
R47,95.725,-102.4,-90,top
R48,177.425,-71.62,-90,top
R49,207.25,-121.2,90,top
