Comment,Designator,Footprint,JLCPCB Part #
CL05B104KO5NNNC,"C1, C2, C3, C4, C5, C6, C7, C32, C45, C54, C58, C65, C67, C78, C86, C89, C94, C96",C_0402_1005Metric,C1525
CL05B224KO5NNNC,"C26, C27, C28, C29, C98",C_0402_1005Metric,C16772
CL21B105KBFNNNE,"C30, C34, C35, C69, C70, C79, C81, C83, C90, C91, C92, C93",C_0805_2012Metric,C28323
0402CG101J500NT,"C31, C33, C61, C62, C63, C66",C_0402_1005Metric,C1546
CL21A106KAYNNNE,"C36, C37, C38, C41, C49, C50, C51, C53, C56, C57, C84, C88, C95",C_0805_2012Metric,C15850
0402B222K500NT,C39,C_0402_1005Metric,C1531
CL05A474KP5NNNC,C40,C_0402_1005Metric,C47339
0402CG330J500NT,C42,C_0402_1005Metric,C1562
0402CG150J500NT,C43,C_0402_1005Metric,C1548
0805B681K500NT,C44,C_0805_2012Metric,C1754
0805B333K500NT,"C46, C47",C_0805_2012Metric,C1739
CL05B103KB5NNNC,"C48, C72, C76",C_0402_1005Metric,C15195
0402B473K500NT,"C52, C55",C_0402_1005Metric,C82219
CL21A226MAQNNNE,"C59, C60, C68, C71",C_0805_2012Metric,C45783
CL21A225KBQNNNE,C64,C_0805_2012Metric,C377773
0805B152K500NT,C73,C_0805_2012Metric,C1717
CL05C331JB5NNNC,C74,C_0402_1005Metric,C13533
CL21A475KAQNNNE,C75,C_0805_2012Metric,C1779
0402B102K500NT,"C80, C82",C_0402_1005Metric,C1523
0402CG200J500NT,"C85, C87",C_0402_1005Metric,C1554
CL21A226MAQNNNE,C97,C_0805_2012Metric,C45783
WS2812B-V5/W,"D1, D2, D3, D4, D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885
SM4007PL,"D30, D31, D34",D_SOD-123F,C64898
LESD5D5.0CT1G,"D32, D33",D_SOD-523,C5246195
ES8374,ES1,QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm,C365738
AO3401A,Q10,SOT-23,C15127
HYCW498-USBC16-735B,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C42400252
FHD4020S-2R2MT,L1,FHD4020S-2R2MT,C602029
FXL0630-3R3-M,"L2, L3",FXL0630-3R3-M,C167219
TDK VFS5045VA301,L4,TDK VFS5045VA301,C6913904
KLJ-01304T-08R07W,LS1,Speaker KELIKING KLJ-01304T-08R07W,C18186315
MIC-4013-G-G00,MKTD4015BPN1,SAMZO MIC-4013-G-G00,C42371093
CSD17551Q3A,"Q1, Q2, Q3, Q4, Q5, Q6",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C2876535
CSD25402Q3A,Q7,VSON-8_3.3x3.3mm_P0.65mm_NexFET,C111356
NX7002AKVL,"Q8, Q9",SOT-23,C551606
0603WAF100JT5E,"R1, R2, R3, R4, R6, R9, R15, R36, R37",C_0201_0603Metric,C22859
0603WAF5101T5E,"R5, R7",C_0201_0603Metric,C23186
0603WAF1000T5E,"R8, R13, R16, R48, R59, R69, R70",C_0201_0603Metric,C22775
FRM121WFR001TM,R14,R_1206_3216Metric,C7467246
0603WAF1003T5E,R17,C_0201_0603Metric,C25803
0603WAF3003T5E,R18,C_0201_0603Metric,C23024
0603WAF1005T5E,"R19, R26",C_0201_0603Metric,C7250
0603WAF4703T5E,R20,C_0201_0603Metric,C23178
0603WAF3003T5E,R21,C_0201_0603Metric,C23024
0603WAF2201T5E,"R22, R23, R49, R58",C_0201_0603Metric,C4190
0603WAF5101T5E,"R24, R28",C_0201_0603Metric,C23186
0603WAF4022T5E,R25,C_0201_0603Metric,C12447
0603WAF100KT5E,R27,C_0201_0603Metric,C22936
0603WAF499KT5E,"R29, R31",C_0201_0603Metric,C23165
0603WAJ010LT5E,"R30, R43",C_0201_0603Metric,C620909
0603WAF1002T5E,"R32, R33, R34, R42, R45, R46, R47, R71",C_0201_0603Metric,C25804
0603WAF3002T5E,R35,C_0201_0603Metric,C22984
0603WAF4702T5E,R38,C_0201_0603Metric,C25819
0603WAF1502T5E,R39,C_0201_0603Metric,C22809
0603WAF1373T5E,R40,C_0201_0603Metric,C22872
0603WAF5362T5E,R41,C_0201_0603Metric,C23074
0603WAF1001T5E,R44,C_0201_0603Metric,C21190
0603WAF3301T5E,"R50, R51",C_0201_0603Metric,C22978
0603WAF270JT5E,"R60, R61",C_0201_0603Metric,C25190
XKB5858-W-F,"SW1, SW2, SW3, SW4",XKB5858,C2884737
NCP18XH103F03RB,TH1,R_0603_1608Metric,C13564
ESP32-S3-WROOM-1-N16,U1,ESP32-S3-WROOM-1,C2913199
TPAP2112K-3.3TRG1,U2,SOT-23-5,C3021085
BQ76905RGRR,U3,IC_BQ76905RGRR,C22394458
AP62300WU-7,"U4, U6",TSOT-23-6,C1880390
BQ25713RSNR,U5,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,BQ25713RSNR
MCP23017-E/SO,U7,SOIC-28W_7.5x17.9mm_P1.27mm,C47023
AP22913CN4,U8,WLCSP-4_0.89x0.89mm_Layout2x2_P0.5mm,C2150198
IRM-H638T/TR2,U9,Everlight_IRM-H6xxT,C91447
"74HC4051D,653","U10, U12",SOIC-16_3.9x9.9mm_P1.27mm,C9386
MCP6L01T-E/OT,U11,SOT-23-5,C145745
LSM6DS3TR-C,U14,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C967633
ITR9909,U15,ITR_9909_Horizontal,C53399
ITR9909,U16,ITR_9909_Vertical,C53399
Battery_Cell,BT4,Battery_Holder_18650_robop,C7525438
Conn_02x08_Counter_Clockwise,"J8, J11, J12",PinSocket_2x08_P2.54mm_Vertical_SMD,C41427537
